id,keyword,location,text,target
473,,,Heavy rain causing traffic delays.,1
474,,,Minor earthquake tremors felt in the region.,1
475,,,Sunny weather perfect for outdoor events.,0
476,,,Enjoying a walk in the park.,0
477,,,Winter weather advisory in effect.,1
478,,,Flash flood watch issued for the region.,1
479,,,Sunny skies and warm temperatures expected.,0
480,,,Fall foliage at its peak.,0
481,,,Snowstorm warning upgraded to blizzard warning.,1
482,,,Mudslide reported on the highway.,1
483,,,Thunderstorms expected to develop this afternoon.,1
484,,,Snow accumulation expected overnight.,1
485,,,Clear skies and mild temperatures forecasted.,0
486,,,Enjoying a day at the lake with family.,0
487,,,Heatwave causing record-breaking temperatures.,1
488,,,Smoke from distant wildfires drifting into the city.,1
489,,,Heavy rainfall causing localized flooding.,1
490,,,Minor earthquake reported in the area.,1
491,,,Sunny weather perfect for outdoor activities.,0
492,,,Autumn leaves falling gracefully from the trees.,0
493,,,Snowfall expected to intensify overnight.,1
494,,,Rockslide reported on the mountain pass.,1
495,,,Thunderstorm warning issued for the evening.,1
496,,,Sunny skies and cool temperatures forecasted.,0
497,,,Enjoying a bike ride through the countryside.,0
498,,,Winter storm warning upgraded to blizzard warning.,1
499,,,Flash flood warning issued for the county.,1
500,,,Sunny weather perfect for a picnic.,0
501,ablaze,Paranaque City,Ablaze for you Lord :D,0
502,ablaze,Live On Webcam,Check these out: http://t.co/rOI2NSmEJJ http://t.co/3Tj8ZjiN21 http://t.co/YDUiXEfIpE http://t.co/LxTjc87KLS #nsfw,0
503,ablaze,,"on the outside you're ablaze and alive
but you're dead inside",0
504,ablaze,milky way,Had an awesome time visiting the CFC head office the ancop site and ablaze. Thanks to Tita Vida for taking care of us ??,0
505,ablaze,,SOOOO PUMPED FOR ABLAZE ???? @southridgelife,0
506,ablaze,,I wanted to set Chicago ablaze with my preaching... But not my hotel! http://t.co/o9qknbfOFX,0
507,ablaze,,I gained 3 followers in the last week. You? Know your stats and grow with http://t.co/TIyUliF5c6,0
508,ablaze,"GREENSBORO,NORTH CAROLINA",How the West was burned: Thousands of wildfires ablaze in California alone http://t.co/vl5TBR3wbr,1
509,ablaze,,Building the perfect tracklist to life leave the streets ablaze,0
510,ablaze,Live On Webcam,Check these out: http://t.co/rOI2NSmEJJ http://t.co/3Tj8ZjiN21 http://t.co/YDUiXEfIpE http://t.co/LxTjc87KLS #nsfw,0
511,ablaze,England.,First night with retainers in. It's quite weird. Better get used to it; I have to wear them every single night for the next year at least.,0
512,ablaze,"Sheffield Township, Ohio",Deputies: Man shot before Brighton home set ablaze http://t.co/gWNRhMSO8k,1
513,ablaze,India,"Man wife get six years jail for setting ablaze niece
http://t.co/eV1ahOUCZA",1
514,ablaze,Barbados,SANTA CRUZ ÛÓ Head of the St Elizabeth Police Superintendent Lanford Salmon has r ... - http://t.co/vplR5Hka2u http://t.co/SxHW2TNNLf,0
515,ablaze,Anaheim,Police: Arsonist Deliberately Set Black Church In North CarolinaåÊAblaze http://t.co/pcXarbH9An,1
516,ablaze,Abuja,Noches El-Bestia '@Alexis_Sanchez: happy to see my teammates and training hard ?? goodnight gunners.?????? http://t.co/uc4j4jHvGR',0
517,ablaze,USA,#Kurds trampling on Turkmen flag later set it ablaze while others vandalized offices of Turkmen Front in #Diyala http://t.co/4IzFdYC3cg,1
518,ablaze,South Africa,TRUCK ABLAZE : R21. VOORTREKKER AVE. OUTSIDE OR TAMBO INTL. CARGO SECTION. http://t.co/8kscqKfKkF,1
519,ablaze,"Sao Paulo, Brazil",Set our hearts ablaze and every city was a gift And every skyline was like a kiss upon the lips @Û_ https://t.co/cYoMPZ1A0Z,0
520,ablaze,hollywoodland ,They sky was ablaze tonight in Los Angeles. I'm expecting IG and FB to be filled with sunset shots if I know my peeps!!,0
521,ablaze,"Edmonton, Alberta - Treaty 6",How the West was burned: Thousands of wildfires ablaze in #California alone http://t.co/iCSjGZ9tE1 #climate #energy http://t.co/9FxmN0l0Bd,1
522,ablaze,,Revel in yours wmv videos by means of mac farewell ablaze wmv en route to dvd: GtxRWm,0
523,ablaze,Inang Pamantasan,"Progressive greetings!

In about a month students would have set their pens ablaze in The Torch Publications'... http://t.co/9FxPiXQuJt",0
524,ablaze,Twitter Lockout in progress,Rene Ablaze &amp; Jacinta - Secret 2k13 (Fallen Skies Edit) - Mar 30 2013  https://t.co/7MLMsUzV1Z,0
525,ablaze,"Concord, CA",@Navista7 Steve these fires out here are something else! California is a tinderbox - and this clown was setting my 'hood ablaze @News24680,1
526,ablaze,"Calgary, AB",#NowPlaying: Rene Ablaze &amp; Ian Buff - Magnitude http://t.co/Av2JSjfFtc  #EDM,0
527,ablaze,Birmingham,@nxwestmidlands huge fire at Wholesale markets ablaze http://t.co/rwzbFVNXER,1
528,ablaze,San Francisco,@ablaze what time does your talk go until? I don't know if I can make it due to work.,0
529,accident,CLVLND,'I can't have kids cuz I got in a bicycle accident &amp; split my testicles. it's impossible for me to have kids' MICHAEL YOU ARE THE FATHER,0
530,accident,"Nashville, TN",Accident on I-24 W #NashvilleTraffic. Traffic moving 8m slower than usual. https://t.co/0GHk693EgJ,1
531,accident,"Santa Clara, CA",Accident center lane blocked in #SantaClara on US-101 NB before Great America Pkwy #BayArea #Traffic http://t.co/pmlOhZuRWR,1
532,accident,UK,http://t.co/GKYe6gjTk5 Had a #personalinjury accident this summer? Read our advice &amp; see how a #solicitor can help #OtleyHour,0
533,accident,"St. Louis, MO",#stlouis #caraccidentlawyer Speeding Among Top Causes of Teen Accidents https://t.co/k4zoMOF319 https://t.co/S2kXVM0cBA Car Accident teeÛ_,0
534,accident,"Walker County, Alabama",Reported motor vehicle accident in Curry on Herman Rd near Stephenson involving an overturned vehicle. Please use... http://t.co/YbJezKuRW1,1
535,accident,Australia,BigRigRadio Live Accident Awareness,1
536,accident,North Carolina,I-77 Mile Marker 31 South Mooresville  Iredell Vehicle Accident Ramp Closed at 8/6 1:18 PM,1
537,accident,,RT @SleepJunkies: Sleeping pills double your risk of a car accident http://t.co/7s9Nm1fiCT,0
538,accident,Norf Carolina,'By accident' they knew what was gon happen https://t.co/Ysxun5vCeh,0
539,accident,"San Mateo County, CA",Traffic accident N CABRILLO HWY/MAGELLAN AV MIR (08/06/15 11:03:58),1
540,accident,North Carolina,I-77 Mile Marker 31 to 40 South Mooresville  Iredell Vehicle Accident Congestion at 8/6 1:18 PM,1
541,accident,"Njoro, Kenya",the pastor was not in the scene of the accident......who was the owner of the range rover ?,1
542,accident,,"mom: 'we didn't get home as fast as we wished'
me: 'why is that?'
mom: 'there was an accident and some truck spilt mayonnaise all over ??????",0
543,accident,Your Sister's Bedroom,I was in a horrible car accident this past Sunday. I'm finally able to get around. Thank you GOD??,1
544,accident,,Can wait to see how pissed Donnie is when I tell him I was in ANOTHER accident??,0
